True Solar,True Wind,Predicted Solar,Predicted Wind
0.48278576,0.07997046,0.51442325,0.066013135
0.45701998,0.08355577,0.49165857,0.06429389
0.430439,0.0777962,0.46846184,0.06258796
0.40287226,0.08656719,0.44490895,0.06098281
0.37568474,0.09857205,0.4203428,0.06168888
0.346649,0.089313194,0.3937792,0.06623209
0.31667927,0.08482217,0.3633854,0.065464884
0.28580475,0.08456927,0.33202815,0.06394498
0.25448915,0.088310815,0.29955277,0.06259564
0.22269581,0.07902199,0.26833364,0.061369434
0.18980323,0.082709804,0.23946147,0.055587616
0.15824467,0.062392045,0.21115898,0.049268916
0.12768632,0.061422057,0.18040831,0.03938559
0.09894025,0.04670437,0.1517733,0.031860802
0.073254175,0.039062,0.12210091,0.026106428
0.051121276,0.038279075,0.09515736,0.021895159
0.033828553,0.029619098,0.07294616,0.019512158
0.022410724,0.022787644,0.0541878,0.01678534
0.017152768,0.018790418,0.037856065,0.013933507
0.011339857,0.016094938,0.022910476,0.011222937
0.0018763875,0.012153365,0.008173136,0.010049405
0.0,0.009197599,0.0003158981,0.011085338
0.0,0.0061592543,-0.0056778584,0.010994399
0.0,0.005044693,-0.007888375,0.008170063
0.0,0.0034077198,-0.0042436356,0.0072058714
0.0,0.003114313,-0.0020775923,0.0059146276
0.0,0.0020717806,-0.0016366426,0.0043060044
0.0,0.0015488216,-0.0010709019,0.002190237
0.0,0.0011819021,-0.000791642,0.0009749932
0.0,0.0012154917,-0.0006469395,0.00019606277
0.0,0.0011230396,-0.00037290118,0.00028530927
0.0,0.0011276212,-0.00029057235,0.0002184049
0.0,0.001017607,-0.00035801245,-0.00022446834
0.0,0.0010846087,-0.00043572814,-0.0003026709
0.0,0.001091756,-0.0005145987,-0.0003072402
0.0,0.0009851296,-0.0006365397,-0.0003563514
0.0,0.001036943,-0.00071112614,-0.0003134546
0.0,0.00101206,-0.0008042956,-0.00027524296
0.0,0.001084884,-0.0008885926,-8.192566e-05
0.0,0.0009219684,-0.001059186,-2.4906147e-05
0.0,0.0009180465,-0.0012274571,-3.937658e-05
0.0,0.0008576987,-0.0013614991,-3.519976e-05
0.0,0.0010305597,-0.0014729721,-2.085947e-05
0.0,0.0010143277,-0.0015700655,-2.690093e-06
0.0,0.0009874569,-0.00164156,0.00015279789
0.0,0.0010474031,-0.0017637494,0.00024329909
0.0,0.000963754,-0.001927991,0.00019903982
0.0,0.0012033208,-0.0020328516,0.00018580577
0.0,0.0013725967,-0.0020202477,0.00067353615
0.0,0.0013988405,-0.0020302811,0.0010114642
0.0,0.0011490186,-0.0021047806,0.0012060748
0.0,0.0011458858,-0.0022007006,0.0012929522
0.0,0.0012664228,-0.0023168675,0.0012414395
0.0,0.0012744478,-0.0023639675,0.001218408
0.0,0.0012543442,-0.0023727529,0.0012108373
0.0,0.0011913381,-0.0023546854,0.0012120066
0.0,0.0014693963,-0.0022913802,0.0013822232
